,Churn_binary
3738,0
3151,0
4860,0
3867,0
3810,0
2666,0
2645,0
189,0
5767,0
2257,0
2641,0
6950,0
3938,0
2764,0
3113,0
2986,0
5427,0
328,0
11,0
4559,0
6271,0
6234,0
3741,0
6937,0
622,0
6969,1
1056,1
6491,1
2582,0
478,1
2935,0
1236,1
6321,1
2414,0
4805,0
785,1
577,0
5704,0
1201,0
5488,0
3253,0
7004,0
4392,0
4453,1
6780,0
2564,1
5338,0
3128,0
3887,1
4097,0
2652,0
6773,1
1118,0
645,1
3420,0
1797,0
6148,0
2320,0
6155,1
2823,0
6385,1
4437,0
4428,1
3716,1
2444,1
593,0
3511,0
2455,1
3214,0
5859,0
5442,0
288,1
6353,0
2399,0
2197,0
2487,0
6746,1
3402,1
3404,0
6812,0
4319,0
155,0
6941,0
4472,0
1489,0
1565,0
2189,0
1096,0
733,0
5840,0
4818,0
2085,1
6846,1
4095,0
6139,0
5786,0
6494,0
6808,0
1491,0
3457,0
3948,0
5229,1
282,0
5121,0
777,1
3218,0
1418,0
6437,0
4976,0
6891,0
3011,0
6009,1
1019,0
830,1
5993,0
6627,0
592,0
3931,0
2485,1
4163,0
5717,0
3868,1
6803,0
1426,0
3860,0
2247,0
2527,1
810,1
556,0
4889,0
4820,0
2936,0
1515,0
2304,0
2205,0
6944,0
3908,0
1032,1
6563,1
3552,0
5896,0
3101,0
2553,0
3567,1
5068,0
4019,1
3070,0
149,0
871,0
2833,0
2997,1
403,0
1265,0
948,1
641,1
4690,0
537,0
4536,1
6264,0
3521,0
6228,0
5287,0
3780,0
6048,1
1369,0
6809,1
465,0
1657,0
4700,0
3785,1
1465,0
1337,0
3563,0
835,0
763,0
6826,0
1002,0
6146,1
5511,0
690,0
393,0
1736,1
6688,0
2693,0
6576,0
3187,0
4432,0
6446,0
1870,0
3633,0
1428,1
5777,0
6031,0
4660,1
5864,0
2616,1
1969,0
1720,0
4909,0
2443,0
1682,0
4198,0
6003,0
2195,0
4409,0
4069,0
4484,0
6715,0
1102,1
3046,0
3383,1
1957,0
6456,0
4684,1
2782,0
3815,1
1263,1
6788,0
6971,1
3462,1
4200,0
5709,0
272,1
2147,0
6102,0
6618,0
2655,1
